IfcGUID,レベル,部屋: 名前,ファミリ,マーク,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
3l7Pw604PCXxs4LT4Axn98,2FL,会議室1,システム天井 照明,776,12 lx,,,,,
3l7Pw604PCXxs4LT4Axn99,2FL,会議室1,システム天井 照明,777,12 lx,,,,,
3l7Pw604PCXxs4LT4Axn9E,2FL,会議室1,システム天井 照明,778,12 lx,,,,,
3l7Pw604PCXxs4LT4Axn9F,2FL,会議室1,システム天井 照明,779,12 lx,,,,,
3bWyfaOdr6FRpicybt$Myd,2FL,会議室1,システム天井 照明,732,12 lx,,,,,
3bWyfaOdr6FRpicybt$Myc,2FL,会議室1,システム天井 照明,733,12 lx,,,,,
3bWyfaOdr6FRpicybt$Myb,2FL,会議室1,システム天井 照明,734,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mya,2FL,会議室1,システム天井 照明,735,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$3,2FL,会議室1,システム天井 照明,736,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$2,2FL,会議室1,システム天井 照明,737,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$1,2FL,会議室1,システム天井 照明,738,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$0,2FL,会議室1,システム天井 照明,739,12 lx,,,,,
3bWyfaOdr6FRpicybt$MuC,2FL,ロビー・打合せスペース,システム天井 照明,740,12 lx,,,,,
3bWyfaOdr6FRpicybt$MuB,2FL,会議室2,システム天井 照明,741,12 lx,,,,,
3bWyfaOdr6FRpicybt$MuA,2FL,会議室2,システム天井 照明,742,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mu9,2FL,会議室2,システム天井 照明,743,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mvr,2FL,ロビー・打合せスペース,システム天井 照明,744,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mvq,2FL,会議室2,システム天井 照明,745,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mvp,2FL,会議室2,システム天井 照明,746,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mvo,2FL,会議室2,システム天井 照明,747,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mw_,2FL,ロビー・打合せスペース,システム天井 照明,748,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mwz,2FL,会議室2,システム天井 照明,749,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mwy,2FL,会議室2,システム天井 照明,750,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mwx,2FL,会議室2,システム天井 照明,751,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mxd,2FL,ロビー・打合せスペース,システム天井 照明,752,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mxc,2FL,会議室3,システム天井 照明,753,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mxb,2FL,会議室3,システム天井 照明,754,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mxa,2FL,会議室3,システム天井 照明,755,12 lx,,,,,
3bWyfaOdr6FRpicybt$MqW,2FL,ロビー・打合せスペース,システム天井 照明,756,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mql,2FL,会議室3,システム天井 照明,757,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mqk,2FL,会議室3,システム天井 照明,758,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mqj,2FL,会議室3,システム天井 照明,759,12 lx,,,,,
3bWyfaOdr6FRpicybt$MmW,2FL,会議室3,システム天井 照明,760,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mml,2FL,会議室3,システム天井 照明,761,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mmk,2FL,会議室3,システム天井 照明,762,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mp7,2FL,ロビー・打合せスペース,システム天井 照明,763,12 lx,,,,,
3bWyfaOdr6FRpicybt$NFY,2FL,受付,システム天井 照明,764,12 lx,,,,,
3bWyfaOdr6FRpicybt$NFX,2FL,受付,システム天井 照明,765,12 lx,,,,,
3bWyfaOdr6FRpicybt$NFW,2FL,ロビー・打合せスペース,システム天井 照明,766,12 lx,,,,,
3bWyfaOdr6FRpicybt$NFl,2FL,ロビー・打合せスペース,システム天井 照明,767,12 lx,,,,,
3bWyfaOdr6FRpicybt$NFk,2FL,ロビー・打合せスペース,システム天井 照明,768,12 lx,,,,,
3bWyfaOdr6FRpicybt$NFj,2FL,ロビー・打合せスペース,システム天井 照明,769,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBa,2FL,ロビー・打合せスペース,システム天井 照明,770,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBZ,2FL,ロビー・打合せスペース,システム天井 照明,771,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBY,2FL,ロビー・打合せスペース,システム天井 照明,772,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBX,2FL,ロビー・打合せスペース,システム天井 照明,773,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBW,2FL,ロビー・打合せスペース,システム天井 照明,774,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBl,2FL,ロビー・打合せスペース,システム天井 照明,775,12 lx,,,,,
3bWyfaOdr6FRpicybt$N4h,2FL,ロビー・打合せスペース,システム天井 照明,1340,12 lx,,,,,
