IfcGUID,レベル,番号,名前,仕上表 仕上 壁,仕上表 仕上 天井,仕上表 仕上 床
2LExFLIiX8M9DB53MN6Ebv,ピット,124,消火水槽,-,,
2LExFLIiX8M9DB53MN6Ebx,ピット,125,ピット,-,,
2LExFLIiX8M9DB53MN6Ebb,ピット,126,ELV ピット,,,
2gUKHROv1EUgcx_P0l24Au,1FL,14,管理人室,EP-2,岩綿吸音板(A),ビニル床シート(A)
2gUKHROv1EUgcx_P0l24A6,1FL,15,ポンプ室,素地,素地,防塵塗装(A)
2gUKHROv1EUgcx_P0l24A4,1FL,16,清掃 管理人 控室,EP-2,岩綿吸音板(A),ビニル床シート(A)
2gUKHROv1EUgcx_P0l24A2,1FL,17,HWC,化粧塩ビシート(A),化粧GB(A),ビニル床シート(B)
2gUKHROv1EUgcx_P0l24AE,1FL,19,電気室,素地,素地,防塵塗装(A)
2gUKHROv1EUgcx_P0l24AC,1FL,20,階段室,EP-2,岩綿吸音板(A),ビニル床シート(A)
2gUKHROv1EUgcx_P0l24A8,1FL,22,ゴミ置場,素地,素地,防塵塗装(A)
2gUKHROv1EUgcx_P0l24AM,1FL,23,EPS,素地,素地,防塵塗装(A)
2gUKHROv1EUgcx_P0l24AK,1FL,24,エントランス ホール,花こう岩(A),岩綿吸音板(A),花こう岩(A)
2gUKHROv1EUgcx_P0l24AI,1FL,25,風除室,花こう岩(A),岩綿吸音板(A),防塵塗装(B)
2gUKHROv1EUgcx_P0l24AG,1FL,26,店舗,素地,素地,素地
2gUKHROv1EUgcx_P0l24AU,1FL,27,駐車場,素地,システム天井(A),防塵塗装(B)
2gUKHROv1EUgcx_P0l248X,1FL,28,ELVホール,花こう岩(A),岩綿吸音板(A),花こう岩(A)
2gUKHROv1EUgcx_P0l25tJ,1FL,29,廊下2,EP-2,岩綿吸音板(A),タイルカーペット(A)
0DM2BrN$L1xvbqsbkLX7J1,1FL,121,廊下1,EP-2,岩綿吸音板(A),タイルカーペット(A)
1gjaWWaeDEzwFzhsC4y3EF,1FL,129,PS,素地,素地,防塵塗装(A)
2LJMRoVXTEcfnQAKbMei$y,1FL,130,倉庫,素地,素地,防塵塗装(A)
1twSCL1k95sQCgSca7qy0V,1FL,141,ピロティ,素地,,
2IGXUsZSbEZ9MtB1iRFqcr,1FL,144,ELV,-,,
2XGpCxucj6TgCQs0KSJMe0,1FL,145,PS,素地,素地,防塵塗装(A)
