IfcGUID,マーク,機能,ファミリ,タイプ,全幅,全高,厚さ,タイプ IfcGUID
3hH$5rBbDBEAyZVIBHtV_V,1,内部,A1 片開 フラッシュ_A2枠,SD109 900x2100,900,2100,,0ZJ1szgDP91Rm2JLxkvD2b
3hH$5rBbDBEAyZVIBHtV_R,8,内部,A1 片開 フラッシュ_A2枠,SD106 900x2100,900,2100,,3f4L23N_D8chZldX3AXV4J
3hH$5rBbDBEAyZVIBHtV$b,42,内部,C1 親子 フラッシュ_A2枠,SD111 1200x2100 店舗裏口,1200,2100,,0ZJ1szgDP91Rm2JLxkvD0W
3hH$5rBbDBEAyZVIBHtQpb,43,内部,C1 親子 フラッシュ_A2枠,SD110 1200x2100,1200,2100,,2i8X77ujD1OeE3uTM1mgIo
2D7HWASjTFRhhJWtoyOff0,48,内部,A1 片開 フラッシュ_A2枠,SD204 900x2100 階段室,900,2100,,2Xyaxc0EL0qP6yvd4PiyYQ
2D7HWASjTFRhhJWtoyOfiY,49,内部,DA1 引込 フラッシュ,LSD101 1200x2100,1200,2100,0,3hH$5rBbDBEAyZVIBHtU8a
2D7HWASjTFRhhJWtoyOfXB,50,内部,A1 片開 フラッシュ_A2枠,SD109 900x2100,900,2100,,0ZJ1szgDP91Rm2JLxkvD2b
2gUKHROv1EUgcx_P0l25ss,51,内部,C1 親子 フラッシュ_A2枠1,SD105 1200x2100 ポンプ室,1200,2100,,2Xyaxc0EL0qP6yvd4Piy_S
1tleIaHnv14AFl6npZnC8l,157,内部,C1 親子 フラッシュ_A2枠1,SD101 1200x2100 時間外出口,1200,2100,,3hH$5rBbDBEAyZVIBHtUBQ
2Xyaxc0EL0qP6yvd4Piz_E,160,外部,B1 両開 フラッシュ_A2枠,SD103 1800x2100 ごみ置き場,1800,2100,,2Xyaxc0EL0qP6yvd4Piz$o
3JHT_kDkP7vheJ_YHf_9cl,2,,パネル ドア F 引分,StD101 F8 框 両サイド框下,,,,3mpVk1YX1C0vsndKI6OmWr
0YOy4Gghb9gujWN7IpT_SU,,,パネル ドア F 引分,StD103 F8 框,,,,3YJpjvrhP34wjLXd6i5XD$
3mpVk1YX1C0vsndKI6OmaO,168,,パネル ドア F 引分,StD102 F8 框 両サイド框下,,,,2tFkDhOZz1sR1YdHmyADYV
0$9cmqJAXAIR8PCKYH9Fa3,249,,T1 点検口,SD210 400x1500,400,1500,,2XGf_nwCTELwFUTgSNjcY9
0$9cmqJAXAIR8PCKYH9Fa5,250,内部,A1 片開 フラッシュ_A2枠,SD205 900x2100,900,2100,,2G5qpNmHbFDwkkJvVJHDdD
0$9cmqJAXAIR8PCKYH9Fa7,252,,T1 点検口,SD209 450x450 MWC点検口,450,450,,2XGf_nwCTELwFUTgSNjcY7
0$9cmqJAXAIR8PCKYH9Fa8,253,内部,A1 片開 フラッシュ_A2枠,SD203 600x2100 設備バルコニ,600,2100,,23yNEVs3jFn9qd4abOAlQg
0$9cmqJAXAIR8PCKYH9FbS,254,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
0$9cmqJAXAIR8PCKYH9FbT,255,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
0$9cmqJAXAIR8PCKYH9FbU,256,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
0$9cmqJAXAIR8PCKYH9FbV,257,内部,A1 片開 フラッシュ_A2枠,SD204 900x2100 階段室,900,2100,,2Xyaxc0EL0qP6yvd4PiyYQ
0$9cmqJAXAIR8PCKYH9Fb0,258,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
0$9cmqJAXAIR8PCKYH9Fb1,259,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
0$9cmqJAXAIR8PCKYH9Fb2,260,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
0$9cmqJAXAIR8PCKYH9Fb3,261,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
0$9cmqJAXAIR8PCKYH9FYr,264,,T1 点検口,SD211 400x2100 消火栓点検口,400,2100,,2XGf_nwCTELwFUTgSNjcY3
0vvBknzLn2NwhD33cYwKTK,233,内部,B1 両開 フラッシュ_A2枠,SD401 1500x1960,1500,1960,,0vvBknzLn2NwhD33cYwK3t
0vvBknzLn2NwhD33cYwK19,234,内部,A1 片開 フラッシュ_A2枠,SD402 600x1960 屋外門扉,600,1960,,0vvBknzLn2NwhD33cYwK0N
3sbGVQ_4r8SPcNXRMvbTic,19,内部,A1 片開 フラッシュ_A2枠,SD203 600x2100 設備バルコニ,600,2100,,23yNEVs3jFn9qd4abOAlQg
3sbGVQ_4r8SPcNXRMvbSTt,240,内部,A1 片開 フラッシュ_A2枠,SD203 600x2100 設備バルコニ,600,2100,,23yNEVs3jFn9qd4abOAlQg
3sbGVQ_4r8SPcNXRMvbSSh,266,内部,A1 片開 フラッシュ_A2枠,SD202 900x2200,900,2200,,1hU31_wE91HBPwhjgaHxAw
3sbGVQ_4r8SPcNXRMvbSwV,291,内部,A1 片開 フラッシュ_A2枠,SD203 600x2100 設備バルコニ,600,2100,,23yNEVs3jFn9qd4abOAlQg
3sbGVQ_4r8SPcNXRMvbSzJ,300,内部,A1 片開 フラッシュ_A2枠,SD202 900x2200,900,2200,,1hU31_wE91HBPwhjgaHxAw
281IksS_93$ObVcsLO0Ydc,305,内部,A2 片開 ガラス_A2枠,SD102 900x2100 外部階段 1F,900,2100,,2Xyaxc0EL0qP6yvd4Piyq5
1q9QE1KOvFTxkbzuzJSPCy,73,内部,A1 片開 フラッシュ_A2枠,SD203 600x2100 設備バルコニ,600,2100,,23yNEVs3jFn9qd4abOAlQg
1q9QE1KOvFTxkbzuzJSP3u,82,内部,A1 片開 フラッシュ_A2枠,SD202 900x2200,900,2200,,1hU31_wE91HBPwhjgaHxAw
1hco5$oIvEkgHm6b5d2Y_1,86,,T1 点検口,SD301 450x450 ハト小屋,450,450,,06VpsEYmj5U9PuV7n04l9t
1MC4r96YvCiPgan9IdSQpP,87,,T1 点検口,SD301 450x450 ハト小屋,450,450,,06VpsEYmj5U9PuV7n04l9t
1MC4r96YvCiPgan9IdSQmC,88,,T1 点検口,SD301 450x450 ハト小屋,450,450,,06VpsEYmj5U9PuV7n04l9t
1gjaWWaeDEzwFzhsC4y4oI,90,内部,A1 片開 フラッシュ_A2枠,SD108 900x2100 電気室 1F,900,2100,,2dZDSAPrH2b9QpXmBBpPwD
3PaTUS5hH9wPifiTVYdVHE,304,内部,A1 片開 フラッシュ_A2枠,SD109 900x2100,900,2100,,0ZJ1szgDP91Rm2JLxkvD2b
20PbmbVhbDugEVUFSTT1Zx,309,,T8 点検口,SD206 4800x2100,4800,2100,,0KSyDvhG51CuZCc0p5YyWt
20PbmbVhbDugEVUFSTT1Ww,310,,T3 点検口,SD207 1800x2100,1800,2100,,0KSyDvhG51CuZCc0p5YoPM
20PbmbVhbDugEVUFSTT1su,311,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
15qD00bvf3owOepCSlPaVs,303,,T1 点検口,SD3208 600x2100,600,2100,,23AfZwwbX7vhDUj8cjv0Ee
15qD00bvf3owOepCSlPaPg,312,内部,A1 片開 フラッシュ_A2枠,SD104 900x2100,900,2100,,1XihwUhJD8XBKRn3JyaE6t
0WRdgIrXj0quymCGYuyCC3,317,内部,A1 片開 フラッシュ_A2枠,SD203 600x2100 設備バルコニ,600,2100,,23yNEVs3jFn9qd4abOAlQg
0WRdgIrXj0quymCGYuyCD7,326,内部,A1 片開 フラッシュ_A2枠,SD202 900x2200,900,2200,,1hU31_wE91HBPwhjgaHxAw
3OwigYZaHCTR42YMEVt0$v,331,内部,C1 親子 フラッシュ_A2枠,SD107 1200x2100,1200,2100,,1ZtbzuXuT9KOXU5sPkoncz
2oi0caGcL0TRHeyaYhQ8q$,332,内部,S1 シャッター 露出納まり,Sh101 5500x2800 グリル,5500,2800,,38FYdKWnLBYf_pXnwuVWeF
2ToYu7VyfA5OAQw$7ouDZO,335,内部,A1 片開 フラッシュ_A2枠,SD202 900x2200,900,2200,,1hU31_wE91HBPwhjgaHxAw
06a0G7HzTBp92$nYjnYV2u,352,,T1 点検口,SD210 400x1500,400,1500,,2XGf_nwCTELwFUTgSNjcY9
06a0G7HzTBp92$nYjnYV2w,353,内部,A1 片開 フラッシュ_A2枠,SD205 900x2100,900,2100,,2G5qpNmHbFDwkkJvVJHDdD
06a0G7HzTBp92$nYjnYVz5,354,,T1 点検口,SD209 450x450 MWC点検口,450,450,,2XGf_nwCTELwFUTgSNjcY7
06a0G7HzTBp92$nYjnYVzt,355,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYVzs,356,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYVzn,357,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYVzm,358,内部,A1 片開 フラッシュ_A2枠,SD204 900x2100 階段室,900,2100,,2Xyaxc0EL0qP6yvd4PiyYQ
06a0G7HzTBp92$nYjnYVzp,359,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVzo,360,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVzz,361,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVzy,362,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVzv,363,,T1 点検口,SD211 400x2100 消火栓点検口,400,2100,,2XGf_nwCTELwFUTgSNjcY3
06a0G7HzTBp92$nYjnYVyV,364,,T8 点検口,SD206 4800x2100,4800,2100,,0KSyDvhG51CuZCc0p5YyWt
06a0G7HzTBp92$nYjnYVyU,365,,T3 点検口,SD207 1800x2100,1800,2100,,0KSyDvhG51CuZCc0p5YoPM
06a0G7HzTBp92$nYjnYVyP,366,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVyO,367,,T1 点検口,SD3208 600x2100,600,2100,,23AfZwwbX7vhDUj8cjv0Ee
06a0G7HzTBp92$nYjnYVgt,368,,T1 点検口,SD210 400x1500,400,1500,,2XGf_nwCTELwFUTgSNjcY9
06a0G7HzTBp92$nYjnYVgn,369,内部,A1 片開 フラッシュ_A2枠,SD205 900x2100,900,2100,,2G5qpNmHbFDwkkJvVJHDdD
06a0G7HzTBp92$nYjnYVgm,370,,T1 点検口,SD209 450x450 MWC点検口,450,450,,2XGf_nwCTELwFUTgSNjcY7
06a0G7HzTBp92$nYjnYVbY,371,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYVbj,372,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYVbi,373,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYVbl,374,内部,A1 片開 フラッシュ_A2枠,SD204 900x2100 階段室,900,2100,,2Xyaxc0EL0qP6yvd4PiyYQ
06a0G7HzTBp92$nYjnYVbk,375,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVbf,376,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVbe,377,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVbh,378,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVbq,379,,T1 点検口,SD211 400x2100 消火栓点検口,400,2100,,2XGf_nwCTELwFUTgSNjcY3
06a0G7HzTBp92$nYjnYVaA,380,,T8 点検口,SD206 4800x2100,4800,2100,,0KSyDvhG51CuZCc0p5YyWt
06a0G7HzTBp92$nYjnYVaL,381,,T3 点検口,SD207 1800x2100,1800,2100,,0KSyDvhG51CuZCc0p5YoPM
06a0G7HzTBp92$nYjnYVaK,382,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYVaN,383,,T1 点検口,SD3208 600x2100,600,2100,,23AfZwwbX7vhDUj8cjv0Ee
06a0G7HzTBp92$nYjnYVX8,384,内部,A1 片開 フラッシュ_A2枠,SD202 900x2200,900,2200,,1hU31_wE91HBPwhjgaHxAw
06a0G7HzTBp92$nYjnYGQk,385,,T1 点検口,SD210 400x1500,400,1500,,2XGf_nwCTELwFUTgSNjcY9
06a0G7HzTBp92$nYjnYGQe,386,内部,A1 片開 フラッシュ_A2枠,SD205 900x2100,900,2100,,2G5qpNmHbFDwkkJvVJHDdD
06a0G7HzTBp92$nYjnYGQh,387,,T1 点検口,SD209 450x450 MWC点検口,450,450,,2XGf_nwCTELwFUTgSNjcY7
06a0G7HzTBp92$nYjnYGLb,388,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYGLa,389,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYGLd,390,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYGLc,391,内部,A1 片開 フラッシュ_A2枠,SD204 900x2100 階段室,900,2100,,2Xyaxc0EL0qP6yvd4PiyYQ
06a0G7HzTBp92$nYjnYGLX,392,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYGLW,393,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYGLZ,394,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYGLY,395,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYGLl,396,,T1 点検口,SD211 400x2100 消火栓点検口,400,2100,,2XGf_nwCTELwFUTgSNjcY3
06a0G7HzTBp92$nYjnYGKD,397,,T8 点検口,SD206 4800x2100,4800,2100,,0KSyDvhG51CuZCc0p5YyWt
06a0G7HzTBp92$nYjnYGKC,398,,T3 点検口,SD207 1800x2100,1800,2100,,0KSyDvhG51CuZCc0p5YoPM
06a0G7HzTBp92$nYjnYGKF,399,内部,C1-P 親子 フラッシュ_A1枠 上部パネル,SD201 特1常 1200x2100(2800),1200,2800,40,3HjCxSxEr7rBsrmQukB5GO
06a0G7HzTBp92$nYjnYGKE,400,,T1 点検口,SD3208 600x2100,600,2100,,23AfZwwbX7vhDUj8cjv0Ee
06a0G7HzTBp92$nYjnYGCh,401,,T1 点検口,SD210 400x1500,400,1500,,2XGf_nwCTELwFUTgSNjcY9
06a0G7HzTBp92$nYjnYGCr,402,内部,A1 片開 フラッシュ_A2枠,SD205 900x2100,900,2100,,2G5qpNmHbFDwkkJvVJHDdD
06a0G7HzTBp92$nYjnYGCq,403,,T1 点検口,SD209 450x450 MWC点検口,450,450,,2XGf_nwCTELwFUTgSNjcY7
06a0G7HzTBp92$nYjnYGFc,404,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
06a0G7HzTBp92$nYjnYGFX,405,内部,Fr3 三方枠,Fr201 900x2100,900,2100,0,2XGf_nwCTELwFUTgSNjaX3
