IfcGUID,レベル,部屋: 名前,ファミリ,タイプ,タイプ IfcGUID
3BpEhCK6P4QxahScH8VHae,2FL,受付,カウンタ 2,W1500XD900,3BpEhCK6P4QxahScH8VHh6
2s0RrxHmH5ZhIRtxN0UWec,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
3xmjIbBUf7CvaS_OJynXAl,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
3xmjIbBUf7CvaS_OJynXDc,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
3xmjIbBUf7CvaS_OJynXFs,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
3xmjIbBUf7CvaS_OJynXEh,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHVR,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHGk,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHJH,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHLb,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHKe,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHNV,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHM4,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwH9B,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
