IfcGUID,レベル,部屋: 名前,ファミリ,マーク,タイプ IfcGUID,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
3l7Pw604PCXxs4LT4Axn98,2FL,会議室1,システム天井 照明,776,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3l7Pw604PCXxs4LT4Axn99,2FL,会議室1,システム天井 照明,777,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3l7Pw604PCXxs4LT4Axn9E,2FL,会議室1,システム天井 照明,778,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3l7Pw604PCXxs4LT4Axn9F,2FL,会議室1,システム天井 照明,779,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$Myd,2FL,会議室1,システム天井 照明,732,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$Myc,2FL,会議室1,システム天井 照明,733,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$Myb,2FL,会議室1,システム天井 照明,734,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$Mya,2FL,会議室1,システム天井 照明,735,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$3,2FL,会議室1,システム天井 照明,736,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$2,2FL,会議室1,システム天井 照明,737,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$1,2FL,会議室1,システム天井 照明,738,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$M$0,2FL,会議室1,システム天井 照明,739,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$MuC,2FL,ロビー・打合せスペース,システム天井 照明,740,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
