IfcGUID,レベル,部屋: 名前,ファミリ,タイプ,仕様 メーカー,全体幅,タイプ IfcGUID
35iFGjb$9FfQ2WjzBcBYo6,1FL,HWC,WC SET バリアフリー,標準,TOTO,,1ohFF9LVvDZgGPjB3W3cDi
35iFGjb$9FfQ2WjzBcBYtk,1FL,管理人室,流し 湯沸,標準,Takara standard,1400,3kOgBiPeLBP8JTgm01AP2b
3PaTUS5hH9wPifiTVYdSO$,7FL,WC女,WC SET 大便器,d150xh900,TOTO,2820,0f$kmr59T8FO_IQXdIani6
3PaTUS5hH9wPifiTVYdSOm,7FL,給湯室,流し 湯沸,標準,Takara standard,1400,3kOgBiPeLBP8JTgm01AP2b
3PaTUS5hH9wPifiTVYdSOn,7FL,給湯室,WC ライニング + 器具,SK D150 H1100,モノタロウ,,1VtNkQ5VT3SB1GtjDMIDaq
3PaTUS5hH9wPifiTVYdSOo,7FL,WC男,WC SET 大便器,d150xh900,TOTO,1860,0f$kmr59T8FO_IQXdIani6
3PaTUS5hH9wPifiTVYdSOp,7FL,WC男,WC SET 小便器,d250xh1300,TOTO,1828,0f$kmr59T8FO_IQXdIaw2b
3PaTUS5hH9wPifiTVYdSOq,7FL,WC男,WC SET 洗面カウンター,標準,LIXIL,1548,2hdWP4O9P67OC1Y3exqdsv
3PaTUS5hH9wPifiTVYdSO1,7FL,WC女,WC SET 洗面カウンター,標準,LIXIL,2120,2hdWP4O9P67OC1Y3exqdsv
06a0G7HzTBp92$nYjnYVyK,6FL,WC女,WC SET 大便器,d150xh900,TOTO,2820,0f$kmr59T8FO_IQXdIani6
06a0G7HzTBp92$nYjnYVyN,6FL,給湯室,流し 湯沸,標準,Takara standard,1400,3kOgBiPeLBP8JTgm01AP2b
06a0G7HzTBp92$nYjnYVyM,6FL,給湯室,WC ライニング + 器具,SK D150 H1100,モノタロウ,,1VtNkQ5VT3SB1GtjDMIDaq
06a0G7HzTBp92$nYjnYVyH,6FL,WC男,WC SET 大便器,d150xh900,TOTO,1860,0f$kmr59T8FO_IQXdIani6
06a0G7HzTBp92$nYjnYVyG,6FL,WC男,WC SET 小便器,d250xh1300,TOTO,1828,0f$kmr59T8FO_IQXdIaw2b
06a0G7HzTBp92$nYjnYVyJ,6FL,WC男,WC SET 洗面カウンター,標準,LIXIL,1548,2hdWP4O9P67OC1Y3exqdsv
06a0G7HzTBp92$nYjnYVyT,6FL,WC女,WC SET 洗面カウンター,標準,LIXIL,2120,2hdWP4O9P67OC1Y3exqdsv
06a0G7HzTBp92$nYjnYVa3,5FL,WC女,WC SET 大便器,d150xh900,TOTO,2820,0f$kmr59T8FO_IQXdIani6
06a0G7HzTBp92$nYjnYVa2,5FL,給湯室,流し 湯沸,標準,Takara standard,1400,3kOgBiPeLBP8JTgm01AP2b
06a0G7HzTBp92$nYjnYVaD,5FL,給湯室,WC ライニング + 器具,SK D150 H1100,モノタロウ,,1VtNkQ5VT3SB1GtjDMIDaq
06a0G7HzTBp92$nYjnYVaC,5FL,WC男,WC SET 大便器,d150xh900,TOTO,1860,0f$kmr59T8FO_IQXdIani6
06a0G7HzTBp92$nYjnYVaF,5FL,WC男,WC SET 小便器,d250xh1300,TOTO,1828,0f$kmr59T8FO_IQXdIaw2b
06a0G7HzTBp92$nYjnYVaE,5FL,WC男,WC SET 洗面カウンター,標準,LIXIL,1548,2hdWP4O9P67OC1Y3exqdsv
06a0G7HzTBp92$nYjnYVa8,5FL,WC女,WC SET 洗面カウンター,標準,LIXIL,2120,2hdWP4O9P67OC1Y3exqdsv
06a0G7HzTBp92$nYjnYGLw,4FL,WC女,WC SET 大便器,d150xh900,TOTO,2820,0f$kmr59T8FO_IQXdIani6
06a0G7HzTBp92$nYjnYGK5,4FL,給湯室,流し 湯沸,標準,Takara standard,1400,3kOgBiPeLBP8JTgm01AP2b
06a0G7HzTBp92$nYjnYGK4,4FL,給湯室,WC ライニング + 器具,SK D150 H1100,モノタロウ,,1VtNkQ5VT3SB1GtjDMIDaq
06a0G7HzTBp92$nYjnYGK7,4FL,WC男,WC SET 大便器,d150xh900,TOTO,1860,0f$kmr59T8FO_IQXdIani6
06a0G7HzTBp92$nYjnYGK6,4FL,WC男,WC SET 小便器,d250xh1300,TOTO,1828,0f$kmr59T8FO_IQXdIaw2b
06a0G7HzTBp92$nYjnYGK1,4FL,WC男,WC SET 洗面カウンター,標準,LIXIL,1548,2hdWP4O9P67OC1Y3exqdsv
06a0G7HzTBp92$nYjnYGK3,4FL,WC女,WC SET 洗面カウンター,標準,LIXIL,2120,2hdWP4O9P67OC1Y3exqdsv
06a0G7HzTBp92$nYjnYGE7,3FL,WC女,WC SET 大便器,d150xh900,TOTO,2820,0f$kmr59T8FO_IQXdIani6
06a0G7HzTBp92$nYjnYGE6,3FL,給湯室,流し 湯沸,標準,Takara standard,1400,3kOgBiPeLBP8JTgm01AP2b
06a0G7HzTBp92$nYjnYGE1,3FL,給湯室,WC ライニング + 器具,SK D150 H1100,モノタロウ,,1VtNkQ5VT3SB1GtjDMIDaq
